"Gene","CNVs","Cluster"
"CD2","-0.0678978381635217","Cluster1"
"CD1C","0.0509305797827024","Cluster1"
"CCL20","0.0325852912187574","Cluster1"
"CCL28","0.257630477571055","Cluster1"
"TAP1","0.212501095210382","Cluster1"
"NT5E","0.268208668504497","Cluster1"
"RAET1G","0.177187650994186","Cluster1"
"CCR6","0.109273841135565","Cluster1"
"EZH2","0.248406715796231","Cluster1"
"CXCR5","-0.0379214767354005","Cluster1"
"LAG3","0.234146858090536","Cluster1"
"KLRK1","0.0861809331138335","Cluster1"
"HSP90B1","0.371764834084881","Cluster1"
"B2M","-0.00565660117610705","Cluster1"
"CCL22","0.19865668499671","Cluster1"
"CXCL17","0.0735841870311925","Cluster1"
"CD40","0.0497798248631447","Cluster1"
"CD2","0.0883676272718458","Cluster2"
"CD1C","-0.252044279626879","Cluster2"
"CCL20","0.36736600881172","Cluster2"
"CCL28","0.198779854181367","Cluster2"
"TAP1","0.0777126360478977","Cluster2"
"NT5E","0.049396598439189","Cluster2"
"RAET1G","0.17096629773454","Cluster2"
"CCR6","0.0284032640686066","Cluster2"
"EZH2","0.29633084393105","Cluster2"
"CXCR5","0.171904370521226","Cluster2"
"LAG3","0.0609275689268719","Cluster2"
"KLRK1","0.141804310049619","Cluster2"
"HSP90B1","0.197655315211141","Cluster2"
"B2M","0.103647836046021","Cluster2"
"CCL22","0.0678200030775598","Cluster2"
"CXCL17","0.0131051959974515","Cluster2"
"CD40","-0.0206355355242718","Cluster2"
"CD2","0.0723703188624157","Cluster3"
"CD1C","-0.000927060719295832","Cluster3"
"CCL20","-0.0616293726971588","Cluster3"
"CCL28","0.101117496056326","Cluster3"
"TAP1","0.0573097034473912","Cluster3"
"NT5E","0.0695692660975321","Cluster3"
"RAET1G","0.218164767575892","Cluster3"
"CCR6","0.150981870121767","Cluster3"
"EZH2","0.269460293224688","Cluster3"
"CXCR5","0.105773133066482","Cluster3"
"LAG3","0.167866462502963","Cluster3"
"KLRK1","0.0102956892131059","Cluster3"
"HSP90B1","0.368187264081248","Cluster3"
"B2M","0.15657253395808","Cluster3"
"CCL22","0.16244532708966","Cluster3"
"CXCL17","-0.077782757494964","Cluster3"
"CD40","0.227030712665447","Cluster3"
"CD2","-0.105468081334926","Cluster4"
"CD1C","0.225509661363789","Cluster4"
"CCL20","0.0206189969009108","Cluster4"
"CCL28","0.0561394400229939","Cluster4"
"TAP1","0.0332086215200633","Cluster4"
"NT5E","-0.0375214185370612","Cluster4"
"RAET1G","0.0743916106281869","Cluster4"
"CCR6","0.142980436941611","Cluster4"
"EZH2","0.299835484702527","Cluster4"
"CXCR5","-0.063877394559292","Cluster4"
"LAG3","-0.13386378050993","Cluster4"
"KLRK1","-0.154675532668805","Cluster4"
"HSP90B1","0.365592152348298","Cluster4"
"B2M","0.0948411948084268","Cluster4"
"CCL22","0.167748658073682","Cluster4"
"CXCL17","-0.0517526797411951","Cluster4"
"CD40","0.238022271092552","Cluster4"
