Gene	Cluster1	Cluster2	Cluster3	Cluster4
B2M	-0.005656601	0.103647836	0.156572534	0.094841195
CCL20	0.032585291			0.020618997
CCL22	0.198656685	0.067820003	0.162445327	0.167748658
CCL28	0.257630478	0.198779854	0.101117496	0.05613944
CCR6	0.109273841			0.142980437
CD1C		-0.25204428		0.225509661
CD2		0.088367627		
CD40	0.049779825	-0.020635536	0.227030713	0.238022271
CXCL17	0.073584187	0.013105196	-0.077782757	-0.05175268
CXCR5			0.105773133	
EZH2	0.248406716	0.296330844		0.299835485
HSP90B1	0.371764834		0.368187264	
KLRK1	0.086180933	0.14180431	0.010295689	-0.154675533
LAG3				-0.133863781
NT5E	0.268208669	0.049396598	0.069569266	-0.037521419
RAET1G	0.177187651	0.170966298	0.218164768	0.074391611
TAP1	0.212501095	0.077712636	0.057309703	0.033208622
