"","Cluster","Gene","L0","GENIE3"
"1","Cluster1","B2M",0.675103617602154,0.506636374627556
"2","Cluster1","CCL22",0.837815014129139,0.298072827534995
"3","Cluster1","CCL28",0.66837229688724,0.477300723745247
"4","Cluster1","CCR6",0.992191086560416,0.979384352519483
"5","Cluster1","CD1C",0.783330785314843,0.00624249376891629
"6","Cluster1","CD2",0.292548049473781,0.0822215929119794
"7","Cluster1","CD40",0.519015468285922,0.29430412963131
"8","Cluster1","CXCL17",0.398495830479471,0.207757641777172
"9","Cluster1","CXCR5",0.970432350644921,0.621643348339863
"10","Cluster1","EZH2",0.636235222519082,0.34792235724161
"11","Cluster1","HSP90B1",0.587834639517611,0.088165374406293
"12","Cluster1","KLRK1",0.842506149431556,0.824931130540009
"13","Cluster1","LAG3",0.773201993241962,0.633380465879139
"14","Cluster1","RAET1G",0.946321183207851,0.158303306962281
"15","Cluster1","TAP1",0.853425592360838,0.828667308936551
"16","Cluster2","B2M",0.791349233206562,0.691542029654909
"17","Cluster2","CCL20",0.157406161580042,0.234668406486744
"18","Cluster2","CCL22",0.602968728071344,0.152826822929864
"19","Cluster2","CCL28",0.7114870742768,0.586513351605137
"20","Cluster2","CCR6",0.993325691692003,0.959835320253287
"21","Cluster2","CD1C",0.883856795300649,0.460201919358213
"22","Cluster2","CD2",0.500455789689735,0.320237128538022
"23","Cluster2","CD40",0.17705635541161,0.2144965137397
"24","Cluster2","CXCR5",0.96375199483083,0.765445119813339
"25","Cluster2","EZH2",0.633075070591898,-0.0275324818921581
"26","Cluster2","HSP90B1",0.426885112616194,-0.0164814299872351
"27","Cluster2","KLRK1",0.850035859707642,0.789847481669292
"28","Cluster2","LAG3",0.803496385889638,0.713811096814227
"29","Cluster2","RAET1G",0.901621077114141,0.573199444642161
"30","Cluster2","TAP1",0.864539944608706,0.821579934536589
"31","Cluster3","B2M",0.713417874501792,0.413570696481985
"32","Cluster3","CCL22",0.859209215055753,0.28302113064718
"33","Cluster3","CCL28",0.691196525623121,0.596389978211721
"34","Cluster3","CCR6",0.9804923977684,0.954498593375665
"35","Cluster3","CD1C",0.742614494617767,-0.0450856532971737
"36","Cluster3","CD40",0.257826734563221,0.0990670197522412
"37","Cluster3","CXCL17",0.223105845159466,0.0668001297489199
"38","Cluster3","CXCR5",0.922576888160864,0.611969651105469
"39","Cluster3","EZH2",0.548869519036067,0.352745955266328
"40","Cluster3","HSP90B1",0.647713859974827,0.0297266739100126
"41","Cluster3","KLRK1",0.81208531868422,0.777099191791647
"42","Cluster3","LAG3",0.791267906307389,0.750336668530578
"43","Cluster3","RAET1G",0.906903893133284,0.527019093192679
"44","Cluster3","TAP1",0.823769623917166,0.779852882909801
"45","Cluster4","B2M",0.132092707058623,0.451536797122135
"46","Cluster4","CCL20",0.416322982905089,0.161977889967551
"47","Cluster4","CCL28",0.684108073569756,0.427419316093788
"48","Cluster4","CCR6",0.992554332002469,0.964555735765553
"49","Cluster4","CD1C",0.929357153128585,0.310673705487144
"50","Cluster4","CD2",0.487356159891081,0.197168340372463
"51","Cluster4","CD40",0.450716598147598,0.0837978270802115
"52","Cluster4","CXCL17",0.338219114493941,-0.189800645011838
"53","Cluster4","CXCR5",0.989093061914555,0.88671876608348
"54","Cluster4","EZH2",0.591914312629091,0.602884523713718
"55","Cluster4","HSP90B1",0.548235323557377,-0.223434750814337
"56","Cluster4","KLRK1",0.916812795358484,0.883492190536446
"57","Cluster4","LAG3",0.844571099121004,0.726654959865543
"58","Cluster4","RAET1G",0.895473947051978,0.543426258002321
"59","Cluster4","TAP1",0.757463134235734,0.704654106113006
