"","Gene","corr","RMSD","pval"
"1","B2M",0.793870174358162,9.06424193818712,2.38007135095716e-33
"2","CCL20",0.178132670668057,0.360794738162653,0.0303067951969006
"3","CCL22",0.573448973387132,0.0346293313461289,2.58734218656512e-14
"4","CCL28",0.705927512688515,0.0244817685868126,1.25212131069238e-23
"5","CCR6",0.991593597957791,0.00347585044789999,1.4482062764073e-131
"6","CD1C",0.850243287514727,0.0151310225667904,1.58220943184661e-42
"7","CD2",0.497156124202836,0.033628802319049,1.29754140380029e-10
"8","CD40",0.424128300659526,0.0528613313118713,7.79646927946855e-08
"9","CXCL17",0.121825925491119,0.860262899052585,0.140209928685543
"10","CXCR5",0.960991411804725,0.00833562587361322,2.19523094550163e-83
"11","EZH2",0.630004960888247,0.0248452531178222,9.62536093212698e-18
"12","HSP90B1",0.494476914532592,0.957875510226959,1.68669542757983e-10
"13","KLRK1",0.840884512871392,0.0162981697374387,9.22620419249307e-41
"14","LAG3",0.783588610586185,0.0190337905988881,5.53435171803073e-32
"15","NT5E",0.146486339942819,0.0899353675790344,0.0756391270425996
"16","RAET1G",0.932184893713715,0.0095845496198142,2.61493545506129e-66
"17","TAP1",0.822205422571184,0.167113324645073,1.4801343398893e-37
