"","Cluster","Gene","L0_Rsquare","L0_RMSE"
"1","Cluster4","B2M",0.699397908588291,8.40160278933861
"2","Cluster4","CCL20",0.227508213284349,0.289189609896898
"3","Cluster4","CCL22",0.294947501310702,0.0389415753628161
"4","Cluster4","CCL28",0.485097948869147,0.0207383075824987
"5","Cluster4","CCR6",0.986126319814091,0.00307214241681948
"6","Cluster4","CD1C",0.865222759853033,0.00992147118118711
"7","Cluster4","CD2",0.283113375773532,0.0261211579747019
"8","Cluster4","CD40",0.290551946647322,0.0417458629197256
"9","Cluster4","CXCL17",0.162300409757059,1.05574990315616
"10","Cluster4","CXCR5",0.979457794780604,0.00401206276075242
"11","Cluster4","EZH2",0.735535026713276,0.0146666688132141
"12","Cluster4","HSP90B1",0.363863378524629,1.03916376361332
"13","Cluster4","KLRK1",0.845311181763799,0.010400862095803
"14","Cluster4","LAG3",0.739974288956114,0.0148425500024431
"15","Cluster4","RAET1G",0.816148284233509,0.0113176755788812
"16","Cluster4","TAP1",0.623959863622392,0.161322922392745
