"","Gene","corr","pval"
"1","B2M",-0.0703401384519599,0.39559091550233
"2","CCL20",0.0892833543115769,0.280531558698113
"3","CCL22",-0.162907560803542,0.0478962380983802
"4","CCL28",-0.011214396809003,0.892393263910847
"5","CCR6",-0.162907560803542,0.0478962380983802
"6","CD1C",-0.0939932886478845,0.255831098345585
"7","CD2",-0.0196525257591823,0.812595490648352
"8","CD40",-0.04361412555143,0.598651673861737
"9","CXCL17",-0.011214396809003,0.892393263910847
"10","CXCR5",0.0345803828867569,0.676498224589448
"11","EZH2",-0.0489626893050225,0.554546625769535
"12","HSP90B1",-0.011214396809003,0.892393263910847
"13","KLRK1",-0.0196525257591823,0.812595490648352
"14","LAG3",-0.162907560803542,0.0478962380983802
"15","NT5E",-0.162907560803542,0.0478962380983802
"16","RAET1G",-0.04361412555143,0.598651673861737
"17","TAP1",0.0345803828867569,0.676498224589448
"18","B2M",0.124874495513532,0.130480837977158
"19","CCL20",0.0892833543115769,0.280531558698113
"20","CCL22",-0.162907560803542,0.0478962380983802
"21","CCL28",-0.011214396809003,0.892393263910847
"22","CCR6",-0.162907560803542,0.0478962380983802
"23","CD1C",-0.0939932886478845,0.255831098345585
"24","CD2",-0.0196525257591823,0.812595490648352
"25","CD40",-0.04361412555143,0.598651673861737
"26","CXCL17",-0.011214396809003,0.892393263910847
"27","CXCR5",0.0345803828867569,0.676498224589448
"28","EZH2",-0.0489626893050225,0.554546625769535
"29","HSP90B1",-0.011214396809003,0.892393263910847
"30","KLRK1",-0.0196525257591823,0.812595490648352
"31","LAG3",-0.162907560803542,0.0478962380983802
"32","NT5E",-0.162907560803542,0.0478962380983802
"33","RAET1G",-0.04361412555143,0.598651673861737
"34","TAP1",0.0345803828867569,0.676498224589448
