"","Gene","corr","pval"
"1","B2M",-0.0703401384519599,0.39559091550233
"2","CCL20",0.0892833543115769,0.280531558698113
"3","CCL22",-0.162907560803542,0.0478962380983802
"4","CCL28",-0.011214396809003,0.892393263910847
"5","CCR6",-0.162907560803542,0.0478962380983802
"6","CD1C",-0.0939932886478845,0.255831098345585
"7","CD2",-0.0196525257591823,0.812595490648352
"8","CD40",-0.04361412555143,0.598651673861737
"9","CXCL17",-0.011214396809003,0.892393263910847
"10","CXCR5",0.0345803828867569,0.676498224589448
"11","EZH2",-0.0489626893050225,0.554546625769535
"12","HSP90B1",-0.011214396809003,0.892393263910847
"13","KLRK1",-0.0196525257591823,0.812595490648352
"14","LAG3",-0.162907560803542,0.0478962380983802
"15","NT5E",-0.162907560803542,0.0478962380983802
"16","RAET1G",-0.04361412555143,0.598651673861737
"17","TAP1",0.0345803828867569,0.676498224589448
"18","B2M",0.124874495513532,0.130480837977158
"19","CCL20",0.0892833543115769,0.280531558698113
"20","CCL22",-0.162907560803542,0.0478962380983802
"21","CCL28",-0.011214396809003,0.892393263910847
"22","CCR6",-0.162907560803542,0.0478962380983802
"23","CD1C",-0.0939932886478845,0.255831098345585
"24","CD2",-0.0196525257591823,0.812595490648352
"25","CD40",-0.04361412555143,0.598651673861737
"26","CXCL17",-0.011214396809003,0.892393263910847
"27","CXCR5",0.0345803828867569,0.676498224589448
"28","EZH2",-0.0489626893050225,0.554546625769535
"29","HSP90B1",-0.011214396809003,0.892393263910847
"30","KLRK1",-0.0196525257591823,0.812595490648352
"31","LAG3",-0.162907560803542,0.0478962380983802
"32","NT5E",-0.162907560803542,0.0478962380983802
"33","RAET1G",-0.04361412555143,0.598651673861737
"34","TAP1",0.0345803828867569,0.676498224589448
"35","B2M",0.0136213127208933,0.869484755619972
"36","CCL20",-0.031903973427062,0.700285064244961
"37","CCL22",0.076908454488809,0.35284994307096
"38","CCL28",0.0167388754759932,0.839975572638647
"39","CCR6",0.0657408900595169,0.427282477167333
"40","CD1C",-0.0576071966611011,0.486768694265752
"41","CD2",-0.0141506144592521,0.864460802920632
"42","CD40",-0.035744166590785,0.666252150567098
"43","CXCL17",-0.0876263169155458,0.289590669036341
"44","CXCR5",-0.129939478233569,0.115473672401523
"45","EZH2",0.0720868669083875,0.383933156162934
"46","HSP90B1",0.0140240117557742,0.865661987409757
"47","KLRK1",0.0923251575109188,0.264402388370879
"48","LAG3",0.0280072984865573,0.735437932114379
"49","NT5E",0.101720167435328,0.218629586845746
"50","RAET1G",-0.0342740794787713,0.679204931022557
"51","TAP1",0.0102491636791259,0.901606265704939
