,TF,Reg,Gene,Cluster,Strength
1,ELF1,1,B2M,Cluster1,51.72307949
2,FOXA1,2,B2M,Cluster1,24.71802721
3,IRF1,1,B2M,Cluster1,47.11181784
4,IRF2,1,B2M,Cluster1,101.1152789
5,LEF1,1,B2M,Cluster1,101.3639068
6,SP1,2,B2M,Cluster1,111.5300277
7,TP53,2,B2M,Cluster1,48.557529
42,ELF1,1,B2M,Cluster2,124.100474
43,IRF1,1,B2M,Cluster2,50.8111442
44,IRF2,1,B2M,Cluster2,195.9953375
45,TCF7L2,2,B2M,Cluster2,199.0472354
72,CEBPB,2,B2M,Cluster3,27.25826934
73,IRF1,1,B2M,Cluster3,39.9475032
74,IRF2,1,B2M,Cluster3,200.9657528
75,SP1,2,B2M,Cluster3,195.0110982
106,CEBPB,2,B2M,Cluster4,12.59138839
107,IRF1,1,B2M,Cluster4,49.15042133
108,STAT4,1,B2M,Cluster4,399.8089557
109,TP53,2,B2M,Cluster4,67.3690448
46,ETS2,1,CCL20,Cluster2,0.77289722
47,FOXA1,1,CCL20,Cluster2,1.240444587
48,NFATC2,1,CCL20,Cluster2,22.66412519
110,CEBPB,1,CCL20,Cluster4,0.62667112
111,ETS2,2,CCL20,Cluster4,0.595262292
112,FOXA1,1,CCL20,Cluster4,0.864691791
8,ETS2,2,CCL22,Cluster1,0.031475178
9,PAX5,1,CCL22,Cluster1,0.84918184
49,CEBPB,1,CCL22,Cluster2,0.069771678
50,PAX5,1,CCL22,Cluster2,0.884409497
76,JUN,1,CCL22,Cluster3,0.016395528
77,PAX5,1,CCL22,Cluster3,0.973867767
78,YY1,2,CCL22,Cluster3,0.073372515
10,GATA1,1,CCL28,Cluster1,0.785790287
51,GATA1,1,CCL28,Cluster2,0.774394457
79,ESR1,1,CCL28,Cluster3,0.677715537
80,GATA1,2,CCL28,Cluster3,0.809246544
81,TBP,1,CCL28,Cluster3,1.094414938
113,GATA1,1,CCL28,Cluster4,0.851225775
11,ESR1,1,CCR6,Cluster1,0.050209763
12,ETS1,1,CCR6,Cluster1,0.030111703
13,GATA1,1,CCR6,Cluster1,0.883107372
14,TFAP2A,2,CCR6,Cluster1,0.025678589
15,YY1,2,CCR6,Cluster1,0.015493376
52,ETS1,1,CCR6,Cluster2,0.01895289
53,GATA1,1,CCR6,Cluster2,0.997889708
82,ETS1,1,CCR6,Cluster3,0.040122722
83,GATA1,1,CCR6,Cluster3,0.951258754
84,TFAP2A,2,CCR6,Cluster3,0.047397798
114,ETS1,1,CCR6,Cluster4,0.038929004
115,GATA1,1,CCR6,Cluster4,0.991027065
116,YY1,2,CCR6,Cluster4,0.019637575
16,STAT4,1,CD1C,Cluster1,0.676186772
17,YY1,2,CD1C,Cluster1,0.109670727
54,STAT4,1,CD1C,Cluster2,0.893679551
85,STAT4,1,CD1C,Cluster3,0.749543987
86,YY1,2,CD1C,Cluster3,0.107044518
117,CEBPB,2,CD1C,Cluster4,0.016763183
118,STAT4,1,CD1C,Cluster4,0.93977436
119,YY1,2,CD1C,Cluster4,0.062455268
18,NR3C1,1,CD2,Cluster1,0.359489908
55,GATA1,1,CD2,Cluster2,0.717382373
120,GATA1,1,CD2,Cluster4,0.919476264
19,ETS1,1,CD40,Cluster1,0.505230119
20,GATA2,2,CD40,Cluster1,0.801543412
56,GATA2,2,CD40,Cluster2,0.555382224
87,ETS1,1,CD40,Cluster3,0.334921559
88,FOXA1,2,CD40,Cluster3,0.187819023
89,TBP,1,CD40,Cluster3,1.932083173
121,ETS1,1,CD40,Cluster4,0.562877653
21,TP53,1,CXCL17,Cluster1,4.479414016
22,YY1,1,CXCL17,Cluster1,3.319997214
90,ETS1,2,CXCL17,Cluster3,2.368376948
91,JUN,1,CXCL17,Cluster3,0.596850754
122,CEBPB,2,CXCL17,Cluster4,1.497246373
123,ESR1,2,CXCL17,Cluster4,17.32363224
124,YY1,2,CXCL17,Cluster4,6.581120999
23,GATA1,1,CXCR5,Cluster1,1.020931928
57,GATA1,1,CXCR5,Cluster2,1.0237647
92,GATA1,1,CXCR5,Cluster3,0.97411146
125,GATA1,1,CXCR5,Cluster4,1.042556014
24,MYB,1,EZH2,Cluster1,0.996951981
25,TCF7L2,2,EZH2,Cluster1,0.377981666
26,YY1,1,EZH2,Cluster1,0.15077475
