"","TF","Reg","Gene","Cluster","Strength"
"1","CEBPB","2","B2M","Cluster4","12.5913883918901"
"2","IRF1","1","B2M","Cluster4","49.1504213283967"
"3","STAT4","1","B2M","Cluster4","399.808955742471"
"4","TP53","2","B2M","Cluster4","67.3690447985264"
"5","CEBPB","1","CCL20","Cluster4","0.626671119672081"
"6","ETS2","2","CCL20","Cluster4","0.595262291575107"
"7","FOXA1","1","CCL20","Cluster4","0.864691791343493"
"8","GATA1","1","CCL28","Cluster4","0.851225774812499"
"9","ETS1","1","CCR6","Cluster4","0.0389290036757649"
"10","GATA1","1","CCR6","Cluster4","0.991027065014869"
"11","YY1","2","CCR6","Cluster4","0.0196375748986527"
"12","CEBPB","2","CD1C","Cluster4","0.0167631827730371"
"13","STAT4","1","CD1C","Cluster4","0.939774360071874"
"14","YY1","2","CD1C","Cluster4","0.0624552676247982"
"15","GATA1","1","CD2","Cluster4","0.919476264487127"
"16","ETS1","1","CD40","Cluster4","0.562877652571831"
"17","CEBPB","2","CXCL17","Cluster4","1.49724637268206"
"18","ESR1","2","CXCL17","Cluster4","17.3236322410838"
"19","YY1","2","CXCL17","Cluster4","6.5811209992"
"20","GATA1","1","CXCR5","Cluster4","1.04255601439909"
"21","ELK1","1","EZH2","Cluster4","0.419734282795047"
"22","IRF1","1","EZH2","Cluster4","0.0390839139722221"
"23","TBP","1","EZH2","Cluster4","0.368865999572773"
"24","TCF7L2","2","EZH2","Cluster4","0.196832867307456"
"25","YY1","1","EZH2","Cluster4","0.0718300756526298"
"26","FOS","2","HSP90B1","Cluster4","0.773667080540779"
"27","PAX5","2","HSP90B1","Cluster4","21.0275395008107"
"28","CEBPB","1","KLRK1","Cluster4","0.0122596863035703"
"29","GATA1","1","KLRK1","Cluster4","0.607031203175008"
"30","STAT4","1","KLRK1","Cluster4","0.372444813423529"
"31","ETS1","1","LAG3","Cluster4","0.166451360615573"
"32","GATA1","1","LAG3","Cluster4","0.761439089093438"
"33","SP1","2","LAG3","Cluster4","0.132970900009855"
"34","CEBPB","1","RAET1G","Cluster4","0.0163303019911459"
"35","STAT4","1","RAET1G","Cluster4","0.566706549158731"
"36","TBP","1","RAET1G","Cluster4","0.564767421800522"
"37","IRF1","1","TAP1","Cluster4","1.20607596708421"
"38","TP53","2","TAP1","Cluster4","1.12771148973886"
