SourceGENES,TargetGENES,Interaction,Edges
g4,g7,1,activation
g4,g3,0.954945659910859,activation
g4,g2,0.932638368935959,repression
g4,g4,0.74114373752491,activation
g4,g8,0.676560084813543,repression
g3,g3,0.639184141132151,activation
g4,g6,0.636268999045701,activation
g3,g2,0.634134528566366,activation
g3,g4,0.621677857324062,activation
g3,g7,0.607902289866299,activation
g4,g1,0.580997164610206,activation
g3,g6,0.536266986188699,activation
g2,g8,0.500350897305971,repression
g2,g3,0.492693533322332,activation
g2,g2,0.483164595328122,activation
g2,g6,0.480305385880374,activation
g3,g1,0.474138745913908,repression
g1,g7,0.472987297815555,repression
g1,g3,0.4693359025255,repression
g1,g8,0.466621865754701,activation
g2,g7,0.460622435082804,repression
g1,g2,0.455220045298235,activation
g1,g6,0.450380103288627,repression
g1,g1,0.446114798214467,activation
g3,g8,0.444976756095288,activation
g2,g1,0.431563107289636,activation
g8,g8,0.387702230816184,activation
g2,g4,0.382124371272817,repression
g8,g3,0.381761535944648,activation
g8,g2,0.36948339627386,repression
g8,g6,0.368627971000953,activation
g8,g7,0.364555806192598,repression
g1,g4,0.35995672779368,activation
g8,g1,0.331382481843275,activation
g8,g4,0.296093453038564,repression
g6,g6,0.260871329633014,activation
g6,g1,0.240244974718362,repression
g6,g3,0.231826040951132,activation
g6,g8,0.230948647798781,activation
g6,g2,0.225172128111957,activation
g6,g7,0.22126704219308,repression
g6,g4,0.219000936094206,activation
g7,g6,0.17147910660358,repression
g7,g1,0.164720386074611,repression
g7,g8,0.15048447501933,repression
g7,g3,0.149380628926787,activation
g7,g7,0.147773183918599,activation
g7,g2,0.145237077023064,repression
g7,g4,0.14176356862653,activation
