"","X","datasets","AUROC_L0REG_L0","AUROC_L0REG_L0L2","AUROC2_GENIE3","AUROC_SINCERITITES"
"1",1,"dyn-BF-2000-1",0.65625,0.678125,0.653125,0.484375
"2",2,"dyn-BF-2000-2",0.703125,0.690625,0.690625,0.60625
"3",3,"dyn-BF-2000-3",0.684375,0.675,0.615625,NA
"4",4,"dyn-BF-2000-4",0.68125,0.6125,0.55625,0.471875
"5",5,"dyn-BF-2000-5",0.671875,0.659375,0.6,NA
"6",6,"dyn-BF-2000-6",0.596875,0.54375,0.596875,0.56875
"7",7,"dyn-BF-2000-7",0.61875,0.625,0.575,NA
"8",8,"dyn-BF-2000-8",0.6125,0.596875,0.68125,NA
"9",9,"dyn-BF-2000-9",0.725,0.609375,0.790625,NA
"10",10,"dyn-BF-2000-10",0.659375,0.584375,0.634375,NA
"11",11,"dyn-BF-2000-1",0.66875,0.68125,0.65,0.5125
"12",12,"dyn-BF-2000-2",0.671875,0.64375,0.65,0.5375
"13",13,"dyn-BF-2000-3",0.640625,0.665625,0.6625,0.453125
"14",14,"dyn-BF-2000-4",0.678125,0.634375,0.59375,0.478125
"15",15,"dyn-BF-2000-5",0.675,0.653125,0.64375,0.365625
"16",16,"dyn-BF-2000-6",0.653125,0.640625,0.578125,0.728125
"17",17,"dyn-BF-2000-7",0.6375,0.659375,0.609375,0.55625
"18",18,"dyn-BF-2000-8",0.7125,0.678125,0.628125,NA
"19",19,"dyn-BF-2000-9",0.709375,0.659375,0.703125,NA
"20",20,"dyn-BF-2000-10",0.665625,0.546875,0.690625,0.5375
"21",21,"dyn-BF-2000-1",0.696875,0.68125,0.6625,0.7375
"22",22,"dyn-BF-2000-2",0.69375,0.690625,0.646875,0.55
"23",23,"dyn-BF-2000-3",0.703125,0.7,0.6625,NA
"24",24,"dyn-BF-2000-4",0.665625,0.653125,0.61875,0.26875
"25",25,"dyn-BF-2000-5",0.68125,0.678125,0.625,NA
"26",26,"dyn-BF-2000-6",0.63125,0.615625,0.6125,0.6125
"27",27,"dyn-BF-2000-7",0.66875,0.653125,0.634375,0.446875
"28",28,"dyn-BF-2000-8",0.696875,0.571875,0.6875,NA
"29",29,"dyn-BF-2000-9",0.696875,0.55625,0.715625,0.3625
"30",30,"dyn-BF-2000-10",0.684375,0.565625,0.66875,NA
"31",31,"dyn-BF-2000-1",0.70625,0.684375,0.6625,0.628125
"32",32,"dyn-BF-2000-2",0.690625,0.65625,0.690625,0.478125
"33",33,"dyn-BF-2000-3",0.70625,0.6875,0.659375,0.584375
"34",34,"dyn-BF-2000-4",0.6625,0.646875,0.634375,0.446875
"35",35,"dyn-BF-2000-5",0.703125,0.690625,0.65,0.571875
"36",36,"dyn-BF-2000-6",0.628125,0.6125,0.646875,0.54375
"37",37,"dyn-BF-2000-7",0.675,0.634375,0.63125,0.51875
"38",38,"dyn-BF-2000-8",0.69375,0.659375,0.6875,0.53125
"39",39,"dyn-BF-2000-9",0.725,0.6,0.725,0.378125
"40",40,"dyn-BF-2000-10",0.69375,0.653125,0.6625,0.4375
"41",41,"dyn-BF-2000-1",0.709375,0.6875,0.678125,0.5875
"42",42,"dyn-BF-2000-2",0.6875,0.6875,0.684375,0.6
"43",43,"dyn-BF-2000-3",0.7,0.675,0.66875,0.46875
"44",44,"dyn-BF-2000-4",0.65625,0.65,0.65625,0.509375
"45",45,"dyn-BF-2000-5",0.7,0.684375,0.65,0.471875
"46",46,"dyn-BF-2000-6",0.634375,0.61875,0.671875,0.575
"47",47,"dyn-BF-2000-7",0.671875,0.65,0.659375,0.640625
"48",48,"dyn-BF-2000-8",0.70625,0.68125,0.703125,0.55625
"49",49,"dyn-BF-2000-9",0.703125,0.59375,0.709375,0.465625
"50",50,"dyn-BF-2000-10",0.7,0.665625,0.68125,0.465625
"51",51,"dyn-BFC-2000-1",0.690666666666666,0.718222222222222,0.732444444444445,0.391111111111111
"52",52,"dyn-BFC-2000-2",0.716444444444445,0.712888888888889,0.777777777777778,NA
"53",53,"dyn-BFC-2000-3",0.677333333333333,0.72,0.728,NA
"54",54,"dyn-BFC-2000-4",0.675555555555555,0.709333333333333,0.687111111111111,0.528
"55",55,"dyn-BFC-2000-5",0.674666666666666,0.705777777777778,0.755555555555556,NA
"56",56,"dyn-BFC-2000-6",0.741333333333334,0.767111111111111,0.797333333333333,NA
"57",57,"dyn-BFC-2000-7",0.718222222222222,0.748444444444445,0.774222222222222,0.493333333333334
"58",58,"dyn-BFC-2000-8",0.743111111111111,0.744,0.761777777777778,0.492444444444444
"59",59,"dyn-BFC-2000-9",0.690666666666667,0.690666666666667,0.759111111111111,NA
"60",60,"dyn-BFC-2000-10",0.707555555555555,0.732444444444444,0.724444444444444,NA
"61",61,"dyn-BFC-2000-1",0.681777777777778,0.731555555555556,0.775111111111111,0.561777777777778
"62",62,"dyn-BFC-2000-2",0.762666666666667,0.770666666666667,0.734222222222222,NA
"63",63,"dyn-BFC-2000-3",0.666666666666667,0.711111111111111,0.740444444444444,0.52
"64",64,"dyn-BFC-2000-4",0.722666666666667,0.72,0.732444444444444,NA
"65",65,"dyn-BFC-2000-5",0.671111111111111,0.721777777777778,0.756444444444444,0.562666666666667
"66",66,"dyn-BFC-2000-6",0.685333333333333,0.705777777777778,0.795555555555556,0.547555555555556
"67",67,"dyn-BFC-2000-7",0.723555555555555,0.72,0.790222222222222,NA
"68",68,"dyn-BFC-2000-8",0.744,0.744,0.808,0.468444444444444
"69",69,"dyn-BFC-2000-9",0.747555555555556,0.763555555555556,0.735111111111111,NA
"70",70,"dyn-BFC-2000-10",0.690666666666667,0.669333333333333,0.728888888888889,NA
"71",71,"dyn-BFC-2000-1",0.72,0.717333333333333,0.769777777777778,0.503111111111111
"72",72,"dyn-BFC-2000-2",0.704888888888889,0.712,0.769777777777778,0.456888888888889
"73",73,"dyn-BFC-2000-3",0.729777777777778,0.736,0.742222222222222,NA
"74",74,"dyn-BFC-2000-4",0.738666666666666,0.737777777777777,0.764444444444444,NA
"75",75,"dyn-BFC-2000-5",0.698666666666667,0.708444444444444,0.799111111111111,0.677333333333333
"76",76,"dyn-BFC-2000-6",0.712888888888889,0.743111111111111,0.813333333333333,0.548444444444444
"77",77,"dyn-BFC-2000-7",0.719111111111111,0.712888888888889,0.763555555555556,0.500444444444444
"78",78,"dyn-BFC-2000-8",0.674666666666667,0.715555555555556,0.789333333333333,NA
