"","datasets","L0REG_L0","L0REG_L0L2","GENIE3","SINCERITITES","PPCOR","LEAP"
"1","dyn-BF-2000-1",0.65625,0.678125,0.65625,44,0.665625,0.403125
"2","dyn-BF-2000-2",0.703125,0.690625,0.690625,109,0.575,0.746875
"4","dyn-BF-2000-4",0.68125,0.6125,0.55625,38,0.571875,0.471875
"6","dyn-BF-2000-6",0.596875,0.54375,0.596875,96,0.596875,0.48125
"11","dyn-BF-2000-1",0.66875,0.68125,0.65,62,0.628125,0.453125
"12","dyn-BF-2000-2",0.671875,0.64375,0.65,78,0.696875,0.5625
"13","dyn-BF-2000-3",0.640625,0.665625,0.6625,29,0.54375,0.590625
"14","dyn-BF-2000-4",0.678125,0.634375,0.59375,42,0.659375,0.51875
"15","dyn-BF-2000-5",0.675,0.653125,0.64375,7,0.684375,0.63125
"16","dyn-BF-2000-6",0.653125,0.640625,0.578125,126,0.646875,0.534375
"17","dyn-BF-2000-7",0.6375,0.659375,0.609375,91,0.684375,0.4875
"20","dyn-BF-2000-10",0.665625,0.546875,0.690625,78,0.553125,0.65625
"21","dyn-BF-2000-1",0.696875,0.68125,0.6625,127,0.684375,0.5
"22","dyn-BF-2000-2",0.69375,0.690625,0.646875,86,0.68125,0.58125
"24","dyn-BF-2000-4",0.665625,0.653125,0.61875,1,0.696875,0.4375
"26","dyn-BF-2000-6",0.63125,0.615625,0.6125,113,0.65,0.4875
"27","dyn-BF-2000-7",0.66875,0.653125,0.634375,26,0.646875,0.490625
"29","dyn-BF-2000-9",0.696875,0.55625,0.715625,6,0.64375,0.675
"31","dyn-BF-2000-1",0.70625,0.684375,0.6625,116,0.696875,0.4875
"32","dyn-BF-2000-2",0.690625,0.65625,0.690625,42,0.684375,0.63125
"33","dyn-BF-2000-3",0.70625,0.6875,0.659375,104,0.559375,0.5
"34","dyn-BF-2000-4",0.6625,0.646875,0.634375,26,0.675,0.45
"35","dyn-BF-2000-5",0.703125,0.690625,0.65,99,0.7125,0.6
"36","dyn-BF-2000-6",0.628125,0.6125,0.646875,83,0.51875,0.484375
"37","dyn-BF-2000-7",0.675,0.634375,0.63125,67,0.6625,0.51875
"38","dyn-BF-2000-8",0.69375,0.659375,0.6875,74,0.621875,0.540625
"39","dyn-BF-2000-9",0.725,0.6,0.725,9,0.625,0.675
"40","dyn-BF-2000-10",0.69375,0.653125,0.6625,23,0.61875,0.56875
"41","dyn-BF-2000-1",0.709375,0.6875,0.678125,105,0.696875,0.503125
"42","dyn-BF-2000-2",0.6875,0.6875,0.684375,108,0.703125,0.6125
"43","dyn-BF-2000-3",0.7,0.675,0.66875,37,0.703125,0.528125
"44","dyn-BF-2000-4",0.65625,0.65,0.65625,59,0.55,0.46875
"45","dyn-BF-2000-5",0.7,0.684375,0.65,38,0.696875,0.578125
"46","dyn-BF-2000-6",0.634375,0.61875,0.671875,101,0.646875,0.496875
"47","dyn-BF-2000-7",0.671875,0.65,0.659375,118,0.6625,0.4875
"48","dyn-BF-2000-8",0.70625,0.68125,0.703125,91,0.60625,0.575
"49","dyn-BF-2000-9",0.703125,0.59375,0.709375,35,0.634375,0.66875
"50","dyn-BF-2000-10",0.7,0.665625,0.68125,35,0.628125,0.5875
"51","dyn-BFC-2000-1",0.690666666666666,0.718222222222222,0.732444444444445,13,0.755555555555555,0.628444444444444
"54","dyn-BFC-2000-4",0.675555555555555,0.709333333333333,0.687111111111111,72,0.768888888888889,0.572444444444445
"57","dyn-BFC-2000-7",0.718222222222222,0.748444444444445,0.774222222222222,51,0.671111111111111,0.586666666666667
"58","dyn-BFC-2000-8",0.743111111111111,0.744,0.761777777777778,49,0.81511111111111,0.671111111111111
"61","dyn-BFC-2000-1",0.681777777777778,0.731555555555556,0.775111111111111,93,0.783999999999999,0.677333333333333
"63","dyn-BFC-2000-3",0.666666666666667,0.711111111111111,0.740444444444444,68,0.718222222222222,0.552888888888889
"65","dyn-BFC-2000-5",0.671111111111111,0.721777777777778,0.756444444444444,94,0.808,0.563555555555556
"66","dyn-BFC-2000-6",0.685333333333333,0.705777777777778,0.795555555555556,84,0.797333333333333,0.651555555555555
"68","dyn-BFC-2000-8",0.744,0.744,0.808,36,0.804444444444444,0.695111111111111
"71","dyn-BFC-2000-1",0.72,0.717333333333333,0.769777777777778,56,0.779555555555556,0.649777777777778
"72","dyn-BFC-2000-2",0.704888888888889,0.712,0.769777777777778,31,0.786666666666667,0.585777777777778
"75","dyn-BFC-2000-5",0.698666666666667,0.708444444444444,0.799111111111111,123,0.773333333333334,0.668444444444444
"76","dyn-BFC-2000-6",0.712888888888889,0.743111111111111,0.813333333333333,85,0.774222222222222,0.686222222222222
"77","dyn-BFC-2000-7",0.719111111111111,0.712888888888889,0.763555555555556,55,0.783111111111111,0.605333333333333
"80","dyn-BFC-2000-10",0.710222222222222,0.710222222222222,0.751111111111111,48,0.804444444444445,0.630222222222222
"81","dyn-BFC-2000-1",0.744888888888888,0.747555555555555,0.801777777777778,43,0.778666666666666,0.648888888888889
"82","dyn-BFC-2000-2",0.714666666666667,0.713777777777778,0.765333333333333,16,0.766222222222222,0.581333333333333
"83","dyn-BFC-2000-3",0.755555555555555,0.740444444444444,0.776,33,0.785777777777777,0.586666666666667
"84","dyn-BFC-2000-4",0.727999999999999,0.719999999999999,0.761777777777778,75,0.777777777777777,0.601777777777778
"85","dyn-BFC-2000-5",0.746666666666667,0.736888888888889,0.784888888888889,40,0.773333333333333,0.631111111111111
"86","dyn-BFC-2000-6",0.745777777777778,0.755555555555555,0.802666666666667,100,0.775111111111111,0.697777777777778
"87","dyn-BFC-2000-7",0.736888888888889,0.722666666666667,0.781333333333333,21,0.777777777777777,0.627555555555556
"88","dyn-BFC-2000-8",0.715555555555555,0.731555555555555,0.779555555555556,79,0.753777777777778,0.712
"89","dyn-BFC-2000-9",0.745777777777777,0.736888888888888,0.778666666666667,65,0.793777777777777,0.617777777777778
"90","dyn-BFC-2000-10",0.740444444444444,0.736,0.781333333333333,108,0.780444444444444,0.628444444444444
"91","dyn-BFC-2000-1",0.754666666666667,0.756444444444445,0.786666666666667,18,0.779555555555555,0.652444444444444
"92","dyn-BFC-2000-2",0.741333333333333,0.729777777777777,0.76,46,0.767999999999999,0.598222222222222
"93","dyn-BFC-2000-3",0.743111111111111,0.732444444444445,0.776888888888889,77,0.780444444444444,0.624
"94","dyn-BFC-2000-4",0.727111111111111,0.722666666666666,0.748444444444444,30,0.775111111111111,0.591111111111111
"95","dyn-BFC-2000-5",0.733333333333333,0.727111111111111,0.791111111111111,110,0.778666666666666,0.638222222222222
"96","dyn-BFC-2000-6",0.739555555555555,0.744,0.805333333333333,61,0.777777777777777,0.691555555555556
"97","dyn-BFC-2000-7",0.746666666666667,0.728888888888889,0.761777777777778,15,0.784888888888889,0.602666666666667
"98","dyn-BFC-2000-8",0.735111111111111,0.744888888888889,0.784888888888889,57,0.773333333333333,0.705777777777778
"99","dyn-BFC-2000-9",0.746666666666666,0.743999999999999,0.780444444444444,121,0.769777777777777,0.623111111111111
"100","dyn-BFC-2000-10",0.740444444444444,0.735111111111111,0.764444444444444,4,0.784888888888888,0.624888888888889
"102","dyn-CY-2000-2",0.75,0.756944444444445,0.743055555555556,106,0.40625,0.722222222222222
"104","dyn-CY-2000-4",0.736111111111111,0.715277777777778,0.763888888888889,34,0.385416666666667,0.694444444444445
"105","dyn-CY-2000-5",0.729166666666667,0.694444444444445,0.729166666666667,12,0.399305555555555,0.722222222222222
"107","dyn-CY-2000-7",0.756944444444444,0.694444444444445,0.756944444444444,120,0.392361111111111,0.722222222222222
"109","dyn-CY-2000-9",0.694444444444445,0.743055555555556,0.75,34,0.392361111111111,0.736111111111111
"111","dyn-CY-2000-1",0.652777777777778,0.708333333333333,0.763888888888889,76,0.399305555555555,0.75
"112","dyn-CY-2000-2",0.729166666666667,0.701388888888889,0.729166666666667,50,0.40625,0.694444444444444
"113","dyn-CY-2000-3",0.743055555555556,0.6875,0.743055555555556,114,0.427083333333333,0.694444444444444
"118","dyn-CY-2000-8",0.652777777777778,0.673611111111111,0.763888888888889,17,0.420138888888889,0.722222222222222
"119","dyn-CY-2000-9",0.708333333333333,0.673611111111111,0.729166666666667,107,0.357638888888889,0.763888888888889
"122","dyn-CY-2000-2",0.722222222222222,0.659722222222222,0.743055555555556,81,0.420138888888889,0.75
"123","dyn-CY-2000-3",0.75,0.638888888888889,0.736111111111111,58,0.399305555555555,0.722222222222222
"124","dyn-CY-2000-4",0.743055555555555,0.75,0.75,120,0.434027777777778,0.75
"125","dyn-CY-2000-5",0.763888888888889,0.708333333333333,0.729166666666667,58,0.399305555555555,0.736111111111111
"127","dyn-CY-2000-7",0.763888888888889,0.694444444444445,0.743055555555555,117,0.413194444444444,0.736111111111111
"128","dyn-CY-2000-8",0.743055555555555,0.666666666666667,0.75,69,0.420138888888889,0.763888888888889
"129","dyn-CY-2000-9",0.722222222222222,0.673611111111111,0.722222222222222,122,0.40625,0.736111111111111
"130","dyn-CY-2000-10",0.673611111111111,0.722222222222222,0.743055555555556,111,0.420138888888889,0.736111111111111
"131","dyn-CY-2000-1",0.722222222222222,0.666666666666667,0.763888888888889,120,0.399305555555555,0.708333333333333
"132","dyn-CY-2000-2",0.770833333333333,0.6875,0.743055555555556,71,0.420138888888889,0.722222222222222
"133","dyn-CY-2000-3",0.777777777777778,0.701388888888889,0.729166666666667,45,0.40625,0.722222222222222
"134","dyn-CY-2000-4",0.763888888888889,0.680555555555555,0.736111111111111,63,0.413194444444444,0.708333333333333
"135","dyn-CY-2000-5",0.763888888888889,0.701388888888889,0.743055555555556,28,0.413194444444444,0.75
"136","dyn-CY-2000-6",0.777777777777778,0.673611111111111,0.75,90,0.392361111111111,0.763888888888889
"137","dyn-CY-2000-7",0.743055555555556,0.701388888888889,0.729166666666667,106,0.40625,0.694444444444444
"138","dyn-CY-2000-8",0.756944444444444,0.701388888888889,0.75,76,0.413194444444444,0.722222222222222
"139","dyn-CY-2000-9",0.777777777777778,0.6875,0.736111111111111,54,0.413194444444444,0.763888888888889
"140","dyn-CY-2000-10",0.75,0.673611111111111,0.736111111111111,25,0.399305555555555,0.75
"141","dyn-CY-2000-1",0.756944444444444,0.694444444444445,0.722222222222222,89,0.399305555555555,0.736111111111111
"142","dyn-CY-2000-2",0.763888888888889,0.694444444444444,0.743055555555556,119,0.413194444444444,0.708333333333333
"143","dyn-CY-2000-3",0.770833333333333,0.659722222222222,0.729166666666667,50,0.427083333333333,0.722222222222222
"144","dyn-CY-2000-4",0.777777777777778,0.680555555555555,0.743055555555556,23,0.392361111111111,0.722222222222222
"145","dyn-CY-2000-5",0.770833333333333,0.708333333333333,0.708333333333333,103,0.40625,0.722222222222222
"146","dyn-CY-2000-6",0.777777777777778,0.659722222222222,0.701388888888889,11,0.420138888888889,0.75
"147","dyn-CY-2000-7",0.763888888888889,0.715277777777778,0.715277777777778,124,0.413194444444444,0.722222222222222
"148","dyn-CY-2000-8",0.756944444444444,0.666666666666667,0.75,125,0.40625,0.708333333333333
"149","dyn-CY-2000-9",0.763888888888889,0.715277777777778,0.708333333333333,45,0.420138888888889,0.75
"150","dyn-CY-2000-10",0.75,0.680555555555556,0.736111111111111,103,0.413194444444444,0.736111111111111
"151","dyn-LI-2000-1",0.869387755102041,0.791836734693877,0.877551020408163,92,0.661224489795918,0.783673469387755
"154","dyn-LI-2000-4",0.893877551020408,0.889795918367347,0.881632653061225,64,0.571428571428572,0.848979591836735
"155","dyn-LI-2000-5",0.885714285714286,0.897959183673469,0.873469387755102,27,0.889795918367347,0.795918367346939
"156","dyn-LI-2000-6",0.828571428571429,0.828571428571429,0.812244897959184,66,0.624489795918367,0.763265306122449
"157","dyn-LI-2000-7",0.869387755102041,0.86530612244898,0.751020408163265,60,0.771428571428571,0.608163265306123
"158","dyn-LI-2000-8",0.820408163265306,0.779591836734694,0.86530612244898,112,0.559183673469388,0.661224489795919
"161","dyn-LI-2000-1",0.804081632653061,0.824489795918367,0.83265306122449,47,0.853061224489796,0.706122448979592
"163","dyn-LI-2000-3",0.804081632653061,0.820408163265306,0.824489795918367,82,0.706122448979592,0.69795918367347
"167","dyn-LI-2000-7",0.783673469387755,0.791836734693877,0.804081632653061,53,0.583673469387755,0.816326530612245
"168","dyn-LI-2000-8",0.697959183673469,0.697959183673469,0.8,32,0.428571428571429,0.636734693877551
"169","dyn-LI-2000-9",0.885714285714286,0.812244897959184,0.812244897959184,52,0.783673469387755,0.697959183673469
"171","dyn-LI-2000-1",0.828571428571429,0.844897959183673,0.820408163265306,92,0.906122448979592,0.791836734693878
"172","dyn-LI-2000-2",0.893877551020408,0.893877551020408,0.816326530612245,64,0.742857142857143,0.718367346938776
"173","dyn-LI-2000-3",0.844897959183673,0.853061224489796,0.86530612244898,80,0.910204081632653,0.722448979591837
"174","dyn-LI-2000-4",0.897959183673469,0.885714285714286,0.869387755102041,102,0.608163265306123,0.751020408163265
"175","dyn-LI-2000-5",0.881632653061225,0.877551020408163,0.857142857142857,60,0.808163265306122,0.751020408163265
"176","dyn-LI-2000-6",0.853061224489796,0.853061224489796,0.844897959183673,39,0.8,0.681632653061224
"177","dyn-LI-2000-7",0.881632653061225,0.889795918367347,0.86530612244898,5,0.791836734693877,0.730612244897959
"178","dyn-LI-2000-8",0.779591836734694,0.787755102040816,0.877551020408163,98,0.66530612244898,0.755102040816327
"179","dyn-LI-2000-9",0.902040816326531,0.906122448979592,0.840816326530612,24,0.775510204081633,0.738775510204082
"180","dyn-LI-2000-10",0.885714285714286,0.902040816326531,0.861224489795918,88,0.791836734693877,0.751020408163265
"181","dyn-LI-2000-1",0.86530612244898,0.869387755102041,0.820408163265306,87,0.771428571428571,0.714285714285714
"182","dyn-LI-2000-2",0.889795918367347,0.889795918367347,0.83265306122449,53,0.616326530612245,0.759183673469388
"183","dyn-LI-2000-3",0.848979591836735,0.857142857142857,0.853061224489796,8,0.824489795918367,0.755102040816326
"184","dyn-LI-2000-4",0.897959183673469,0.902040816326531,0.86530612244898,60,0.76734693877551,0.730612244897959
"185","dyn-LI-2000-5",0.869387755102041,0.885714285714286,0.853061224489796,19,0.771428571428571,0.742857142857143
"186","dyn-LI-2000-6",0.828571428571429,0.836734693877551,0.853061224489796,22,0.677551020408163,0.759183673469388
"187","dyn-LI-2000-7",0.877551020408163,0.877551020408163,0.840816326530612,73,0.787755102040816,0.73469387755102
"188","dyn-LI-2000-8",0.775510204081633,0.8,0.820408163265306,115,0.86530612244898,0.730612244897959
"189","dyn-LI-2000-9",0.897959183673469,0.897959183673469,0.840816326530612,98,0.791836734693877,0.726530612244898
"190","dyn-LI-2000-10",0.885714285714286,0.885714285714286,0.86530612244898,2,0.812244897959183,0.759183673469388
"191","dyn-LI-2000-1",0.775510204081633,0.783673469387755,0.840816326530612,97,0.628571428571429,0.70204081632653
"192","dyn-LI-2000-2",0.885714285714286,0.885714285714286,0.857142857142857,10,0.820408163265306,0.751020408163266
"193","dyn-LI-2000-3",0.853061224489796,0.861224489795918,0.861224489795918,70,0.808163265306122,0.710204081632653
"194","dyn-LI-2000-4",0.897959183673469,0.897959183673469,0.86530612244898,20,0.812244897959183,0.742857142857143
"195","dyn-LI-2000-5",0.869387755102041,0.869387755102041,0.857142857142857,3,0.787755102040816,0.734693877551021
