"X","datasets","AUROC_SINCERITITES_L0","AUROC_SINCERITITES_L0L2","AUROC_NIMEFI_L0L2","AUROC_NIMEFI_L0","AUROC_GENIE3","AUROC_SINCERITITES"
1,"GSD-2000-1",0.582113177681044,0.582113177681044,0.545211713494262,0.55921052631579,0.579689354966363,0.579639889196677
2,"GSD-2000-1-50",0.508062920459042,0.508062920459042,0.533686189157103,0.560348239018599,0.588543727740404,0.542590027700831
3,"GSD-2000-1-70",0.41516620498615,0.41516620498615,0.487781954887218,0.497526711515631,0.574297586070439,0.60709339137317
4,"GSD-2000-2",0.450534230312624,0.450534230312624,0.53675306687772,0.562870993272656,0.569351009101702,0.499505342303127
5,"GSD-2000-2-50",0.570389790265137,0.570389790265137,0.532103284527107,0.56880688563514,0.579194697269489,0.498812821527503
6,"GSD-2000-2-70",0.448258804907005,0.448258804907005,0.484962406015037,0.4949050257222,0.586960823110407,0.511624455876533
7,"GSD-2000-3",0.485902255639098,0.485902255639098,0.54788286505738,0.582607835377918,0.584388603086664,0.530124653739613
8,"GSD-2000-3-50",0.535417491096161,0.535417491096161,0.528937475267115,0.553620894341115,0.591066481994459,0.544420261179264
9,"GSD-2000-3-70",0.526266323703997,0.526266323703997,0.510635140482786,0.53581321725366,0.572220023743569,0.584042342698852
10,"GSD-2000-4",0.570587653343886,0.570587653343886,0.554659675504551,0.57276414721013,0.589384645825089,0.524337158686189
11,"GSD-2000-4-50",0.503611001187178,0.503611001187178,0.532449544914919,0.544420261179264,0.577661258409181,0.537692916501781
12,"GSD-2000-4-70",0.523496240601504,0.523496240601504,0.487089434111594,0.496092204194698,0.574297586070439,0.593440838939454
13,"GSD-2000-5",0.527898694103681,0.527898694103681,0.542540561931143,0.566976652156708,0.577364463791057,0.522556390977444
14,"GSD-2000-5-50",0.539374752671151,0.539374752671151,0.529481598733677,0.542540561931143,0.572516818361693,0.484566679857539
15,"GSD-2000-5-70",0.41892560348239,0.41892560348239,0.490898298377523,0.488375544123466,0.575880490700435,0.576474079936684
16,"GSD-2000-6",0.500544123466561,0.500544123466561,0.540809259992085,0.567768104471705,0.579540957657301,0.47586070439256
17,"GSD-2000-6-50",0.485110803324099,0.485110803324099,0.52770083102493,0.557528690146418,0.583992876929165,0.519588444796201
18,"GSD-2000-6-70",0.462504946576969,0.462504946576969,0.472249703205382,0.497774040364068,0.594677483181637,0.534823901859913
19,"GSD-2000-7",0.461218836565097,0.461218836565097,0.554709141274238,0.532597942223981,0.580233478432925,0.433864265927978
20,"GSD-2000-7-50",0.463494261970716,0.463494261970716,0.48377522754254,0.486050652948159,0.552681044717056,0.467599920854768
21,"GSD-2000-7-70",0.5148891966759,0.5148891966759,0.458448753462603,0.434259992085476,0.547487138899882,0.525524337158686
22,"GSD-2000-8",0.479719034428176,0.479719034428176,0.546448357736446,0.559705184012663,0.583646616541352,0.53413138108429
23,"GSD-2000-8-50",0.467055797388207,0.467055797388207,0.527651365255244,0.543628808864266,0.586812425801346,0.517115156311832
24,"GSD-2000-8-70",0.493124258013454,0.493124258013454,0.4949050257222,0.49980213692125,0.585427384250099,0.536307874950534
25,"GSD-2000-9",0.469776414721013,0.469776414721013,0.555203798971112,0.557825484764544,0.571131776810447,0.55693510091017
26,"GSD-2000-9-50",0.502127028096558,0.502127028096558,0.519291650178077,0.515581717451523,0.556489908982984,0.515730114760586
27,"GSD-2000-9-70",0.512861100118718,0.512861100118718,0.472744360902255,0.463197467352592,0.541699643846458,0.546448357736446
28,"GSD-2000-10",0.530124653739612,0.530124653739612,0.549168975069251,0.514889196675901,0.56598733676296,0.495894341115948
29,"GSD-2000-10-50",0.432380292837356,0.432380292837356,0.500098931539375,0.493668381480015,0.536357340720222,0.520775623268698
30,"GSD-2000-10-70",0.554758607043925,0.554758607043925,0.452710724178868,0.430401662049861,0.530124653739612,0.532004352987732
31,"HSC-2000-1",0.501373626373626,0.501373626373626,0.634615384615385,0.778846153846154,0.679029304029304,0.514652014652015
32,"HSC-2000-1-50",0.451923076923077,0.451923076923077,0.624084249084249,0.705586080586081,0.634157509157509,0.476648351648352
33,"HSC-2000-1-70",0.524267399267399,0.524267399267399,0.624542124542125,0.686813186813187,0.632326007326007,0.602564102564103
34,"HSC-2000-2",0.501831501831502,0.501831501831502,0.707875457875458,0.788003663003663,0.664377289377289,0.56959706959707
35,"HSC-2000-2-50",0.408424908424908,0.408424908424908,0.698260073260073,0.741758241758242,0.632783882783883,0.63507326007326
36,"HSC-2000-2-70",0.50503663003663,0.50503663003663,0.606227106227106,0.686355311355312,0.601190476190476,0.419871794871795
37,"HSC-2000-3",0.527472527472528,0.527472527472528,0.683150183150183,0.769230769230769,0.648809523809524,0.532967032967033
38,"HSC-2000-3-50",0.58470695970696,0.58470695970696,0.629578754578755,0.678571428571429,0.603937728937729,0.538461538461538
39,"HSC-2000-3-70",0.588369963369964,0.588369963369964,0.635531135531136,0.672619047619048,0.601190476190476,0.587454212454212
40,"HSC-2000-4",0.501831501831502,0.501831501831502,0.640567765567766,0.780677655677656,0.664835164835165,0.545329670329671
41,"HSC-2000-4-50",0.616300366300366,0.616300366300366,0.617216117216117,0.725732600732601,0.614010989010989,0.504120879120879
42,"HSC-2000-4-70",0.566391941391942,0.566391941391942,0.61996336996337,0.697802197802198,0.645604395604396,0.603021978021978
43,"HSC-2000-5",0.490842490842491,0.490842490842491,0.675824175824176,0.756868131868132,0.683608058608059,0.516483516483517
44,"HSC-2000-5-50",0.492673992673993,0.492673992673993,0.626831501831502,0.714285714285715,0.654761904761905,0.644688644688645
45,"HSC-2000-5-70",0.472527472527473,0.472527472527473,0.595695970695971,0.652930402930403,0.610805860805861,0.518315018315018
46,"HSC-2000-6",0.395604395604396,0.395604395604396,0.695970695970696,0.797161172161172,0.673076923076923,0.558150183150183
47,"HSC-2000-6-50",0.443223443223443,0.443223443223443,0.661630036630037,0.745879120879121,0.634615384615385,0.563644688644689
48,"HSC-2000-6-70",0.433150183150183,0.433150183150183,0.61996336996337,0.690934065934066,0.600274725274725,0.521520146520146
49,"HSC-2000-7",0.543498168498168,0.543498168498168,0.699175824175824,0.810897435897436,0.695970695970696,0.597527472527473
50,"HSC-2000-7-50",0.485347985347985,0.485347985347985,0.649725274725275,0.751373626373627,0.642399267399267,0.65018315018315
51,"HSC-2000-7-70",0.671245421245421,0.671245421245421,0.634615384615385,0.698260073260074,0.626831501831502,0.548534798534798
52,"HSC-2000-8",0.509615384615384,0.509615384615384,0.652014652014652,0.747252747252747,0.662545787545788,0.606227106227106
53,"HSC-2000-8-50",0.552197802197802,0.552197802197802,0.646978021978022,0.680402930402931,0.626831501831502,0.537545787545788
54,"HSC-2000-8-70",0.573260073260073,0.573260073260073,0.639652014652015,0.657967032967033,0.608974358974359,0.574175824175824
55,"HSC-2000-9",0.545787545787546,0.545787545787546,0.685897435897436,0.777930402930403,0.664377289377289,0.608516483516484
56,"HSC-2000-9-50",0.418956043956044,0.418956043956044,0.664835164835165,0.738095238095238,0.643315018315018,0.496336996336996
57,"HSC-2000-9-70",0.411630036630037,0.411630036630037,0.63003663003663,0.682234432234432,0.61996336996337,0.542582417582418
58,"HSC-2000-10",0.527930402930403,0.527930402930403,0.687728937728938,0.79441391941392,0.668956043956044,0.586538461538462
