"","datasets","AUROC_L0Dynamic","AUROC_L0Dynamic_S"
"1","GSD-2000-1",0.504748713889988,0.47590027700831
"2","GSD-2000-1-50",0.519440047487139,0.540997229916897
"3","GSD-2000-1-70",0.558468539770479,0.450207756232687
"4","GSD-2000-2",0.539918876137712,0.444021237303786
"5","GSD-2000-2-50",0.552136921250494,0.487026777469991
"6","GSD-2000-2-70",0.542886822318955,0.530240073868883
"7","GSD-2000-3",0.579392560348239,0.47292243767313
"8","GSD-2000-3-50",0.503561535417491,0.471468144044321
"9","GSD-2000-3-70",0.552037989711119,0.479178208679594
"10","GSD-2000-4",0.4800158290463,0.51050323176362
"11","GSD-2000-4-50",0.513553620894341,0.504085872576177
"12","GSD-2000-4-70",0.548179659675505,0.594783010156971
"13","GSD-2000-5",0.480114760585674,0.528739612188366
"14","GSD-2000-5-50",0.535714285714286,0.559233610341643
"15","GSD-2000-5-70",0.544024535021765,0.527308402585411
"16","GSD-2000-6",0.509101701622477,0.501777469990767
"17","GSD-2000-6-50",0.529432132963989,0.523684210526316
"18","GSD-2000-6-70",0.533982983775227,0.485180055401662
"19","GSD-2000-7",0.554808072813613,0.459995383194829
"20","GSD-2000-7-50",0.549267906608627,0.512673130193906
"21","GSD-2000-7-70",0.525178076770875,0.423107109879963
"22","GSD-2000-8",0.503314206569054,0.549561403508772
"23","GSD-2000-8-50",0.522803719825881,0.461265004616805
"24","GSD-2000-8-70",0.522210130589632,0.441204986149585
"25","GSD-2000-9",0.52488128215275,0.505863342566944
"26","GSD-2000-9-50",0.545211713494262,0.578139427516159
"27","GSD-2000-9-70",0.551741195092995,0.466204986149584
"28","GSD-2000-10",0.5850316580926,0.45427054478301
"29","GSD-2000-10-50",0.527552433715868,0.460872576177285
"30","GSD-2000-10-70",0.540759794222398,0.425277008310249
"31","HSC-2000-1",0.521062271062271,0.444331983805668
"32","HSC-2000-1-50",0.497710622710623,0.528542510121457
"33","HSC-2000-1-70",0.532051282051282,0.428947368421053
"34","HSC-2000-2",0.52518315018315,0.38663967611336
"35","HSC-2000-2-50",0.538461538461539,0.501214574898785
"36","HSC-2000-2-70",0.526556776556777,0.497773279352227
"37","HSC-2000-3",0.539835164835165,0.389271255060729
"38","HSC-2000-3-50",0.508699633699634,0.402024291497976
"39","HSC-2000-3-70",0.509157509157509,0.457894736842105
"40","HSC-2000-4",0.513278388278388,0.510121457489878
"41","HSC-2000-4-50",0.505952380952381,0.556477732793522
"42","HSC-2000-4-70",0.504578754578755,0.505263157894737
"43","HSC-2000-5",0.588827838827839,0.439473684210526
