"","datasets","AUROC_L0REG_L0","AUROC_L0REG_L0L2","AUROC2_GENIE3","AUROC_SINCERITITES"
"1","GSD-2000-1",0.587950138504155,0.588345864661654,0.600069252077562,0.516274238227147
"2","GSD-2000-1-50",0.601108033240998,0.608330035615354,0.599178868223189,0.480658884052235
"3","GSD-2000-1-70",0.541402849228334,0.549614166996438,0.577018203403245,0.499455876533439
"4","GSD-2000-2",0.577809655718243,0.593193510091017,0.599277799762564,0.424070043529877
"5","GSD-2000-2-50",0.578897902651365,0.594677483181638,0.600514444004749,0.532152750296794
"6","GSD-2000-2-70",0.515779580530273,0.550009893153937,0.569994064107637,0.508953304313415
"7","GSD-2000-3",0.570785516422635,0.580184012663236,0.600415512465374,0.454244163039177
"8","GSD-2000-3-50",0.557924416303918,0.585872576177285,0.597744360902255,0.44078947368421
"9","GSD-2000-3-70",0.562772061733281,0.585922041946972,0.593589236248516,0.526513652552434
"10","GSD-2000-4",0.545409576573011,0.559903047091412,0.597447566284132,0.453798971111991
"11","GSD-2000-4-50",0.535714285714285,0.539325286901464,0.599624060150376,0.475366046695687
"12","GSD-2000-4-70",0.553868223189553,0.555005935892362,0.579491491887613,0.480164226355362
"13","GSD-2000-5",0.557726553225168,0.568460625247328,0.601751088246933,0.484121487930352
"14","GSD-2000-5-50",0.560793430945785,0.578007518796992,0.59274831816383,0.494459833795014
"15","GSD-2000-5-70",0.543529877324891,0.551493866244558,0.572764147210131,0.533735654926791
"16","GSD-2000-6",0.606598733676296,0.608082706766917,0.595864661654135,0.48417095370004
"17","GSD-2000-6-50",0.571230708349822,0.578106450336366,0.60180055401662,0.495696478037198
"18","GSD-2000-6-70",0.564651760981401,0.571873763355758,0.576523545706371,0.524337158686189
"19","GSD-2000-7",0.567718638702019,0.588494261970716,0.594182825484764,0.54298575385833
"20","GSD-2000-7-50",0.495548080728136,0.52695884447962,0.576276216857935,0.577958053027305
"21","GSD-2000-7-70",0.479372774040364,0.484962406015038,0.55693510091017,0.483824693312228
"22","GSD-2000-8",0.56559161060546,0.592896715472892,0.597051840126632,0.515433320142462
"23","GSD-2000-8-50",0.540908191531461,0.559408389394539,0.596013058963197,0.455777601899486
"24","GSD-2000-8-70",0.520775623268698,0.53205381875742,0.57464384645825,0.551592797783934
"25","GSD-2000-9",0.566135734072022,0.574742777997625,0.598189552829443,0.403640680648991
"26","GSD-2000-9-50",0.569153146022953,0.57899683419074,0.582212109220419,0.485259200633162
"27","GSD-2000-9-70",0.521072417886822,0.528986941036802,0.556885635140483,0.508211317768104
"28","GSD-2000-10",0.55921052631579,0.58087653343886,0.60086070439256,0.489265927977839
"29","GSD-2000-10-50",0.500247328848437,0.521270280965572,0.585674713098536,0.523842500989315
"30","GSD-2000-10-70",0.454590423426988,0.462010288880094,0.561584883260783,0.512316976652156
"31","HSC-2000-1",0.686355311355311,0.66025641025641,0.779304029304029,0.462454212454212
"32","HSC-2000-1-50",0.616758241758242,0.616758241758242,0.754120879120879,0.516025641025641
"33","HSC-2000-1-70",0.614010989010989,0.61492673992674,0.731227106227106,0.555860805860806
"34","HSC-2000-2",0.691391941391942,0.716117216117216,0.81043956043956,0.453754578754579
"35","HSC-2000-2-50",0.663919413919414,0.666666666666667,0.784798534798535,0.501831501831502
"36","HSC-2000-2-70",0.620421245421245,0.641483516483517,0.725732600732601,0.504120879120879
"37","HSC-2000-3",0.693223443223443,0.649725274725275,0.775641025641026,0.501373626373626
"38","HSC-2000-3-50",0.617673992673993,0.617216117216117,0.731227106227106,0.50503663003663
"39","HSC-2000-3-70",0.631410256410257,0.61996336996337,0.722069597069597,0.633241758241758
"40","HSC-2000-4",0.710164835164835,0.674450549450549,0.784798534798535,0.44459706959707
"41","HSC-2000-4-50",0.652014652014652,0.656593406593407,0.748168498168498,0.477106227106227
"42","HSC-2000-4-70",0.65018315018315,0.650641025641026,0.732142857142857,0.548992673992674
"43","HSC-2000-5",0.711080586080586,0.668956043956044,0.774725274725275,0.386446886446886
"44","HSC-2000-5-50",0.663003663003663,0.6753663003663,0.761904761904762,0.427655677655678
"45","HSC-2000-5-70",0.641483516483517,0.63507326007326,0.721611721611722,0.489468864468865
"46","HSC-2000-6",0.690476190476191,0.706959706959707,0.797161172161172,0.506410256410256
"47","HSC-2000-6-50",0.669871794871795,0.699175824175824,0.777930402930403,0.471153846153846
"48","HSC-2000-6-70",0.637820512820513,0.612179487179487,0.730311355311355,0.432234432234432
"49","HSC-2000-7",0.725274725274725,0.680860805860806,0.779761904761905,0.446886446886447
"50","HSC-2000-7-50",0.691849816849817,0.687728937728938,0.772435897435897,0.507783882783883
"51","HSC-2000-7-70",0.669871794871795,0.675824175824176,0.727564102564103,0.459249084249084
"52","HSC-2000-8",0.682692307692308,0.638278388278388,0.768772893772894,0.654761904761905
"53","HSC-2000-8-50",0.621336996336997,0.63003663003663,0.737637362637363,0.414835164835165
"54","HSC-2000-8-70",0.634157509157509,0.639194139194139,0.712912087912088,0.561355311355311
"55","HSC-2000-9",0.67445054945055,0.700091575091575,0.788003663003663,0.533424908424908
"56","HSC-2000-9-50",0.667124542124542,0.696428571428572,0.778388278388278,0.543040293040293
"57","HSC-2000-9-70",0.635989010989011,0.625457875457876,0.727564102564103,0.573717948717949
"58","HSC-2000-10",0.688186813186813,0.705128205128205,0.794413919413919,0.45970695970696
"59","HSC-2000-10-50",0.661172161172161,0.6996336996337,0.771520146520147,0.448717948717949
"60","HSC-2000-10-70",0.619047619047619,0.630494505494505,0.720695970695971,0.438644688644689
"61","mCAD-2000-1",0.351648351648352,0.351648351648352,0.307692307692308,0.681318681318681
"62","mCAD-2000-1-50",0.274725274725275,0.230769230769231,0.296703296703297,0.648351648351648
"63","mCAD-2000-1-70",0.175824175824176,0.252747252747253,0.252747252747253,0.384615384615385
"64","mCAD-2000-2",0.384615384615385,0.538461538461539,0.307692307692308,0.43956043956044
"65","mCAD-2000-2-50",0.384615384615385,0.428571428571429,0.362637362637363,0.406593406593407
"66","mCAD-2000-2-70",0.351648351648352,0.351648351648352,0.307692307692308,0.373626373626374
"67","mCAD-2000-3",0.417582417582418,0.571428571428572,0.307692307692308,0.406593406593407
"68","mCAD-2000-3-50",0.395604395604396,0.494505494505495,0.384615384615385,0.472527472527473
"69","mCAD-2000-3-70",0.395604395604396,0.516483516483516,0.406593406593407,0.32967032967033
"70","mCAD-2000-4",0.417582417582418,0.494505494505495,0.318681318681319,0.461538461538462
"71","mCAD-2000-4-50",0.318681318681319,0.296703296703297,0.307692307692308,0.604395604395604
"72","mCAD-2000-4-70",0.252747252747253,0.263736263736264,0.285714285714286,0.527472527472527
"73","mCAD-2000-5",0.417582417582418,0.494505494505495,0.307692307692308,0.615384615384615
"74","mCAD-2000-5-50",0.417582417582418,0.428571428571429,0.296703296703297,0.505494505494505
"75","mCAD-2000-5-70",0.274725274725275,0.274725274725275,0.307692307692308,0.340659340659341
"76","mCAD-2000-6",0.395604395604396,0.43956043956044,0.307692307692308,0.373626373626374
"77","mCAD-2000-6-50",0.373626373626374,0.516483516483517,0.395604395604396,0.362637362637363
"78","mCAD-2000-6-70",0.417582417582418,0.417582417582418,0.362637362637363,0.351648351648352
"79","mCAD-2000-7",0.362637362637363,0.472527472527473,0.307692307692308,0.318681318681319
"80","mCAD-2000-7-50",0.362637362637363,0.417582417582418,0.307692307692308,0.318681318681319
"81","mCAD-2000-7-70",0.285714285714286,0.285714285714286,0.307692307692308,0.505494505494505
"82","mCAD-2000-8",0.21978021978022,0.318681318681319,0.318681318681319,0.307692307692308
"83","mCAD-2000-8-50",0.175824175824176,0.197802197802198,0.296703296703297,0.362637362637363
"84","mCAD-2000-8-70",0.153846153846154,0.296703296703297,0.230769230769231,0.241758241758242
