"","datasets","AUROC_L0Dynamic","AUROC_L0REG_L0","AUROC_L0REG_L0L2","AUROC_GENIE3","AUROC_SINCERITITES"
"1","GSD-2000-1",0.467253660466957,0.50489711119905,0.646517609814009,0.60086070439256,0.516274238227147
"2","GSD-2000-1-50",0.480510486743174,0.519538979026514,0.617134942619706,0.602443609022556,0.480658884052235
"3","GSD-2000-1-70",0.468935496636327,0.557132963988919,0.580530273051049,0.58785120696478,0.499455876533439
"4","GSD-2000-2",0.489711119905026,0.540314602295211,0.525474871388998,0.578798971111991,0.424070043529877
"5","GSD-2000-2-50",0.489315393747527,0.552384250098931,0.508409180846853,0.570983379501385,0.532152750296794
"6","GSD-2000-2-70",0.495300751879699,0.542540561931143,0.524337158686189,0.548328056984567,0.508953304313415
"7","GSD-2000-3",0.495300751879699,0.57597942223981,0.584289671547289,0.591214879303522,0.454244163039177
"8","GSD-2000-3-50",0.49604273842501,0.503215275029679,0.604719034428175,0.574495449149189,0.44078947368421
"9","GSD-2000-3-70",0.506331618519984,0.550751879699248,0.592896715472892,0.592253660466956,0.526513652552434
"10","GSD-2000-4",0.481598733676296,0.480263157894737,0.485555995251286,0.584685397704788,0.453798971111991
"11","GSD-2000-4-50",0.481203007518797,0.513454689354966,0.475662841313811,0.576573011476058,0.475366046695687
"12","GSD-2000-4-70",0.449841709537,0.548179659675505,0.486149584487534,0.542738425009893,0.480164226355362
"13","GSD-2000-5",0.476058567471309,0.480411555203798,0.48679263949347,0.583349821923229,0.484121487930352
"14","GSD-2000-5-50",0.484665611396913,0.535714285714286,0.483923624851603,0.563217253660466,0.494459833795014
"15","GSD-2000-5-70",0.464582508903838,0.543282548476454,0.517906608626831,0.545409576573011,0.533735654926791
"16","GSD-2000-6",0.466264345073209,0.510585674713098,0.523842500989315,0.579837752275425,0.48417095370004
"17","GSD-2000-6-50",0.471111990502572,0.528937475267115,0.514938662445587,0.57578155916106,0.495696478037198
"18","GSD-2000-6-70",0.462010288880095,0.532944202611792,0.50019786307875,0.551444400474871,0.524337158686189
"19","GSD-2000-7",0.48699050257222,0.563711911357341,0.638504155124653,0.593984962406014,0.54298575385833
"20","GSD-2000-7-50",0.477344677483181,0.55184012663237,0.609022556390977,0.558913731697665,0.577958053027305
"21","GSD-2000-7-70",0.505787495053423,0.524436090225564,0.599228333992877,0.557231895528294,0.483824693312228
"22","GSD-2000-8",0.509645825089038,0.503709932726553,0.509893153937475,0.578749505342303,0.515433320142462
"23","GSD-2000-8-50",0.466511673921646,0.52319944598338,0.497872971903443,0.573951325682627,0.455777601899486
"24","GSD-2000-8-70",0.471755045508508,0.522605856747131,0.479471705579739,0.556885635140483,0.551592797783934
"25","GSD-2000-9",0.482142857142857,0.524831816383063,0.487336762960031,0.577166600712307,0.403640680648991
"26","GSD-2000-9-50",0.468193510091017,0.545656905421449,0.501780767708745,0.549812030075188,0.485259200633162
"27","GSD-2000-9-70",0.450286901464187,0.55164226355362,0.479768500197863,0.526711515631183,0.508211317768104
"28","GSD-2000-10",0.497279382667194,0.58750494657697,0.663533834586464,0.616294024535022,0.489265927977839
"29","GSD-2000-10-50",0.474277799762564,0.528591214879304,0.612287297190344,0.576028888009498,0.523842500989315
"30","GSD-2000-10-70",0.489265927977839,0.5399683419074,0.620251286110011,0.573703996834191,0.512316976652156
"31","HSC-2000-1",0.524725274725275,0.523351648351648,0.468864468864469,0.545787545787546,0.462454212454212
"32","HSC-2000-1-50",0.566849816849817,0.496794871794872,0.483974358974359,0.544871794871795,0.516025641025641
"33","HSC-2000-1-70",0.543498168498169,0.534340659340659,0.497252747252747,0.538461538461539,0.555860805860806
"34","HSC-2000-2",0.509157509157509,0.521062271062271,0.591117216117216,0.710164835164835,0.453754578754579
"35","HSC-2000-2-50",0.522893772893773,0.53525641025641,0.549908424908425,0.63003663003663,0.501831501831502
"36","HSC-2000-2-70",0.507326007326007,0.523351648351648,0.513278388278388,0.515567765567766,0.504120879120879
"37","HSC-2000-3",0.473901098901099,0.543498168498169,0.592490842490843,0.647893772893773,0.501373626373626
"38","HSC-2000-3-50",0.467490842490843,0.512820512820513,0.560897435897436,0.54029304029304,0.50503663003663
"39","HSC-2000-3-70",0.526556776556776,0.514652014652015,0.609432234432235,0.550824175824176,0.633241758241758
"40","HSC-2000-4",0.499542124542125,0.516941391941392,0.541208791208791,0.642857142857143,0.44459706959707
