"","datasets","AUROC_L0Dynamic","AUROC_L0Dynamic_S"
"1","GSD-2000-1",0.429907004352987,0.452954755309326
"2","GSD-2000-1-50",0.423426988523941,0.51578947368421
"3","GSD-2000-1-70",0.433419074000791,0.439635272391505
"4","GSD-2000-2",0.479521171349426,0.567151431209603
"5","GSD-2000-2-50",0.464879303521963,0.607040627885503
"6","GSD-2000-2-70",0.454540957657301,0.569228993536473
"7","GSD-2000-3",0.440146418678275,0.42758541089566
"8","GSD-2000-3-50",0.438068856351405,0.457271468144044
"9","GSD-2000-3-70",0.396517609814009,0.490327793167128
"10","GSD-2000-4",0.427878907795805,0.522391505078486
"11","GSD-2000-4-50",0.45607439651761,0.461149584487535
"12","GSD-2000-4-70",0.458399287692916,0.511495844875346
"13","GSD-2000-5",0.4349525128611,0.540050784856879
"14","GSD-2000-5-50",0.452908587257618,0.61567405355494
"15","GSD-2000-7",0.432973882073605,0.546675900277008
"16","GSD-2000-7-50",0.422833399287693,0.521052631578947
"17","GSD-2000-7-70",0.431390977443609,0.497830101569714
"18","GSD-2000-8",0.444449940641076,0.51140350877193
"19","GSD-2000-8-50",0.441432528690146,0.535064635272391
"20","GSD-2000-10",0.458597150771666,0.558056325023084
"21","GSD-2000-10-50",0.440245350217649,0.521722068328716
"22","GSD-2000-10-70",0.445834982192323,0.529732225300092
"23","HSC-2000-1",0.407509157509158,0.42165991902834
"24","HSC-2000-1-50",0.42948717948718,0.451214574898785
"25","HSC-2000-1-70",0.440018315018315,0.529554655870445
"26","HSC-2000-2",0.486263736263736,0.611538461538462
"27","HSC-2000-2-50",0.503205128205128,0.607894736842105
"28","HSC-2000-2-70",0.484432234432234,0.63582995951417
"29","HSC-2000-3",0.554945054945055,0.552226720647773
"30","HSC-2000-3-50",0.510989010989011,0.525708502024291
"31","HSC-2000-3-70",0.510531135531136,0.340890688259109
"32","HSC-2000-4",0.496336996336996,0.445951417004049
"33","HSC-2000-4-50",0.518315018315018,0.496153846153846
"34","HSC-2000-4-70",0.555860805860806,0.502226720647773
"35","HSC-2000-5",0.532051282051282,0.575101214574899
"36","HSC-2000-5-50",0.526556776556777,0.596153846153846
"37","HSC-2000-7",0.441391941391941,0.433603238866397
"38","HSC-2000-7-50",0.437728937728938,0.372064777327935
"39","HSC-2000-7-70",0.436355311355311,0.539676113360324
"40","HSC-2000-8",0.597985347985348,0.457692307692308
"41","HSC-2000-8-50",0.499542124542125,0.575708502024291
"42","HSC-2000-10",0.340201465201465,0.480161943319838
"43","HSC-2000-10-50",0.44047619047619,0.503643724696356
"44","HSC-2000-10-70",0.44459706959707,0.37246963562753
"45","mCAD-2000-1",0.395604395604396,0.544871794871795
"46","mCAD-2000-1-50",0.395604395604396,0.67948717948718
"47","mCAD-2000-1-70",0.351648351648352,0.42948717948718
"48","mCAD-2000-2",0.417582417582418,0.503205128205128
"49","mCAD-2000-2-50",0.373626373626374,0.605769230769231
"50","mCAD-2000-2-70",0.494505494505495,0.567307692307692
"51","mCAD-2000-3",0.659340659340659,0.326923076923077
"52","mCAD-2000-3-50",0.637362637362637,0.583333333333333
"53","mCAD-2000-3-70",0.417582417582418,0.564102564102564
"54","mCAD-2000-4",0.604395604395604,0.58974358974359
"55","mCAD-2000-4-50",0.549450549450549,0.554487179487179
"56","mCAD-2000-4-70",0.593406593406593,0.576923076923077
"57","mCAD-2000-5",0.516483516483516,0.493589743589744
"58","mCAD-2000-5-50",0.747252747252747,0.378205128205128
"59","mCAD-2000-7",0.67032967032967,0.365384615384615
"60","mCAD-2000-7-50",0.56043956043956,0.455128205128205
"61","mCAD-2000-7-70",0.747252747252747,0.362179487179487
"62","mCAD-2000-8",0.362637362637363,0.387820512820513
"63","mCAD-2000-8-50",0.362637362637363,0.397435897435897
"64","mCAD-2000-10",0.428571428571429,0.439102564102564
"65","mCAD-2000-10-50",0.395604395604396,0.608974358974359
"66","mCAD-2000-10-70",0.241758241758242,0.528846153846154
"67","VSC-2000-1",0.458536585365854,0.520408163265306
"68","VSC-2000-1-50",0.505691056910569,0.431972789115646
"69","VSC-2000-1-70",0.471544715447154,0.489115646258503
"70","VSC-2000-2",0.460162601626016,0.494557823129252
"71","VSC-2000-2-50",0.450406504065041,0.531972789115646
"72","VSC-2000-2-70",0.500813008130081,0.525850340136054
"73","VSC-2000-3",0.487804878048781,0.497959183673469
"74","VSC-2000-3-50",0.495934959349594,0.515646258503401
"75","VSC-2000-3-70",0.476422764227642,0.495238095238095
"76","VSC-2000-4",0.440650406504065,0.536054421768707
"77","VSC-2000-4-50",0.44390243902439,0.507482993197279
"78","VSC-2000-4-70",0.513821138211382,0.484353741496599
"79","VSC-2000-5",0.478048780487805,0.54421768707483
"80","VSC-2000-5-50",0.468292682926829,0.423809523809524
"81","VSC-2000-7",0.465040650406504,0.531972789115646
"82","VSC-2000-7-50",0.442276422764228,0.5
"83","VSC-2000-7-70",0.479674796747968,0.550340136054422
"84","VSC-2000-8",0.339837398373984,0.450340136054422
"85","VSC-2000-8-50",0.408130081300813,0.503401360544218
"86","VSC-2000-10",0.292682926829268,0.433333333333333
"87","VSC-2000-10-50",0.338211382113821,0.514285714285714
"88","VSC-2000-10-70",0.398373983739837,0.552380952380952
